,time,pos_x,pos_y,yaw,v_x,v_y,w,a_x,a_y,alpha
43,1713795737.3267138,-0.2619304660940115,-0.02041412300409419,-2.299096523551156,0.048018659730481514,-7.441580454534656e-06,-0.0044638131473024,-0.2293959669889618,-0.1510239542496832,-0.0031627427731317397
44,1713795737.351714,-0.25771719688936556,-0.025375977840796562,-2.2998253944881824,0.050769456462279344,-7.640600915872348e-06,-0.0065426803128003875,-0.24303935514580152,-0.15500283140476306,-0.004569018710165376
45,1713795737.376714,-0.25350674555805186,-0.03033785234519801,-2.300521778093988,0.0513572336653528,-7.839094630179497e-06,-0.00792545488602611,-0.2560228732007688,-0.1589702297274049,-0.005424026903492456
46,1713795737.401714,-0.2493003941179025,-0.03529972731250468,-2.301082084552016,0.050263658524120014,-8.036972324725403e-06,-0.009127013505489561,-0.26835065485517656,-0.16292445352855606,-0.0061212507862761735
47,1713795737.4267142,-0.24509730182938635,-0.040261601991060485,-2.3011678112441265,0.0427627200026732,-8.2341536400167e-06,-0.009766547619352403,-0.2800284945418199,-0.16686398249498624,-0.0063749465100389705
48,1713795737.4517145,-0.24090618528943725,-0.04522347639146125,-2.3008246843711997,0.0410042420076944,-8.430647033383712e-06,-0.01047181932695638,-0.2910622024040484,-0.17078746113734733,-0.006673006063018106
49,1713795737.4767144,-0.24072748221312612,-0.046681167418763755,-2.3001661583289605,0.04802548211745736,-8.62522450633535e-06,-0.010827850267568394,-0.30145924590773115,-0.17469368850809058,-0.006693372382489103
50,1713795737.5017145,-0.24140203788225867,-0.04738103937693462,-2.299330582836255,0.06851028822122504,-8.819816200041769e-06,-0.009234754957023514,-0.31122788185955735,-0.17858160800719186,-0.005193376599348277
51,1713795737.5267146,-0.24208325827614258,-0.048052805018757,-2.2987753606159393,0.10248138316652464,-9.013563785673084e-06,-0.006368642834122383,-0.3203774742728892,-0.18245029772996094,-0.0027369276800410396
52,1713795737.551715,-0.24273970567531336,-0.04872352789429952,-2.2988143542803963,0.14482708918827275,-9.20642474524537e-06,-0.0043647009085528606,-0.32891841484955014,-0.18629896097496196,-0.001039612372419429
