time,x_filter,y_filter,yaw_filter,x_ref,y_ref,yaw_ref
1713795766.0518234,2.906463286888874,1.4220592648768793,0.7358802718820446,2.298852206367471,1.2855135893811027,3.107602685668681
1713795766.0768235,2.8882404154033128,1.4323817276539255,0.7360057350068151,2.281850633681271,1.2864616898347485,3.107371325242442
1713795766.1018236,2.8700662927961575,1.4427043874052614,0.7362482494547042,2.267289494689958,1.2873224517581707,3.108657512592588
1713795766.1268237,2.851854196824683,1.453026948242391,0.7363944614633934,2.2497935955249617,1.2881182694675248,3.1081550808880114
1713795766.1518238,2.8351751215284957,1.4594616354371754,0.7364313610027383,2.2366995048437586,1.28837201263315,3.1069217847669925
1713795766.1768239,2.82031554330673,1.4613073407525574,0.7362392597949402,2.2194517829789326,1.2886337314333423,3.104997150837947
1713795766.201824,2.8055466222666072,1.4629828858825855,0.7359715741258137,2.2032492580168266,1.2892437815786892,3.1046226073158354
1713795766.226824,2.7908330630057234,1.4646521009539044,0.735683478726367,2.187290497600757,1.2901078685673675,3.105253932839331
1713795766.2518241,2.7761533066475588,1.4663210974571281,0.7355351756067123,2.1670121506571567,1.291171374042425,3.106201301089252
1713795766.2768242,2.761403127499109,1.4679900530274232,0.7356623617838712,2.149454419629192,1.2919138113344617,3.105932409634192
1713795766.3018243,2.746565000459252,1.4696590237678455,0.7358343351863338,2.135143664492605,1.2927227118805074,3.105705542904083
1713795766.3268244,2.7317659180454084,1.4713279940782902,0.7359920419412069,2.118734222346745,1.293537084221164,3.1066673649192538
1713795766.3518245,2.7160869815765034,1.473986549599023,0.736004218542246,2.1031429953900105,1.2939547266404872,3.1066913871679693
1713795766.3768246,2.700112600124697,1.4769970735655529,0.7359638163251656,2.086621215346123,1.2941245552334897,3.106048494408876
1713795766.4018247,2.6841068987332544,1.4800206817419483,0.736112747080187,2.070099435302236,1.2942943838264924,3.1054056016497826
1713795766.4268248,2.668093875689703,1.4830447737396624,0.7362602948656521,2.0535776552583487,1.294464212419495,3.1047627088906897
1713795766.451825,2.6520342786943067,1.4860688833272868,0.7363897880641218,2.0370558752144614,1.2946340410124977,3.1041198161315964
1713795766.476825,2.6360026170396385,1.489092993230308,0.7365340666901045,2.020534095170574,1.2948038696055002,3.103476923372503
1713795766.501825,2.620020824417546,1.4921171028211522,0.7365287866149759,2.004312894152124,1.2954660497720332,3.1032257596046207
1713795766.5268252,2.604026362071906,1.4951412120879255,0.7364986680908984,1.9847067662896236,1.2963835265308465,3.1036371305253243
1713795766.5518253,2.590966871024679,1.4921383356847067,0.7366649018689211,1.9706695509357794,1.297091425815569,3.1040880026115194
1713795766.5768254,2.5797778873871775,1.4852483857195207,0.7367963342513524,1.9561359196902466,1.297972940896627,3.104314341448752
1713795766.6018255,2.568652731219929,1.4782143393615128,0.7368603097360861,1.9389471965586433,1.2989179096857808,3.1039161523609926
1713795766.6268256,2.5575586881693138,1.4711748120464645,0.7366289782974819,1.921310631694794,1.299741311189059,3.103282964167441
1713795766.6518257,2.546511071005694,1.4641351533283682,0.7362977204524205,1.902687744719938,1.300136266141929,3.1038153429319686
1713795766.6768258,2.535431329721543,1.457095487024367,0.7361450975721908,1.8885793461489633,1.3005378799148943,3.1037379281467623
1713795766.7018259,2.52434163666531,1.450055887338254,0.7361603151023952,1.8704459345095008,1.3012518211290236,3.1035264243266933
1713795766.726826,2.51320056570877,1.4430161531291426,0.7361147810577268,1.860082013683092,1.3015285039789,3.1027362965250926
1713795766.751826,2.5033458545240515,1.4366291672469351,0.7359278725927081,1.8384341402970181,1.3025438313506903,3.102475502537625
1713795766.7768261,2.4944710437516813,1.4307308188706314,0.7358369201848705,1.8192870256073128,1.3035659820252574,3.103047678130083
1713795766.8018262,2.485635370818528,1.424850707028414,0.7359662500323221,1.8006186372481545,1.304708969458416,3.104106160590637
1713795766.8268263,2.4767741069359506,1.4189712110713097,0.736260011522341,1.7902725436543538,1.3052347679064575,3.1044391663693855
1713795766.8518264,2.4678984647879356,1.4130917398236278,0.736501866086721,1.7732571662868886,1.3061597056804501,3.1042162196983436
1713795766.8768265,2.459000318805209,1.4072122132224203,0.736539716904812,1.7598347499491331,1.3066504110687718,3.1036158385452843
1713795766.9018266,2.450124901457049,1.401332798597297,0.7362468571798435,1.7435773078006565,1.3069921453477131,3.102366502506729
1713795766.9268267,2.4413026115268983,1.3954533277118792,0.7359406882005992,1.727453411900642,1.3076886209441507,3.101880687445222
1713795766.9518268,2.413990764809176,1.4022023024430734,0.7357040863586235,1.7069520132695146,1.3087665225539564,3.1022402922938093
1713795766.976827,2.369563953717465,1.4206286326265973,0.7357559542892113,1.6925221417943732,1.3095722724773602,3.103196170228363
1713795767.001827,2.324498576750181,1.4394881311153047,0.7360094399090726,1.6741511390502122,1.310482575063352,3.103379025501008
1713795767.026827,2.2794314120899655,1.4583636958074135,0.7362462259499,1.6573375310456204,1.3111448695290187,3.103024091065332
1713795767.0518272,2.234322211254473,1.4772398608231432,0.7364877071356172,1.648902764113824,1.311921290458863,3.1043562291311266
1713795767.0768273,2.1892941206938175,1.4961160528198072,0.7367216576663786,1.6301001654197675,1.3124502730885752,3.103371350838869
1713795767.1018274,2.144282902910196,1.5149922505326112,0.7370240236914496,1.614525270158802,1.3129608505345778,3.104057098454251
1713795767.1268275,2.099197312657994,1.533868273062408,0.7371556814499252,1.6003480367636698,1.313700230694227,3.1034999889503485
1713795767.1518276,2.0970599860811605,1.5342813547398744,0.737305461528751,1.5806455267310902,1.3145791993638178,3.1036638140261483
1713795767.1768277,2.1054498069049385,1.5301829997403318,0.7376899585026455,1.5736202679173594,1.3147818303704035,3.10490227413159
1713795767.2018278,2.1142343589034773,1.5259173365255552,0.7382818584648888,1.5583956116997624,1.3128843221767195,3.0995866129793646
1713795767.2268279,2.123012187172079,1.5216455133912365,0.7389659187887292,1.5395475564323537,1.3121638951420702,3.096812953756991
1713795767.251828,2.1318277237753227,1.5173733829028635,0.7394480189498173,1.5262409843909208,1.3127992703849323,3.0972742080535376
1713795767.276828,2.1405644714059546,1.5131012886501634,0.7394623599032762,1.5107331204533618,1.3134751324271354,3.0963037100335407
1713795767.3018281,2.149285766744488,1.5088291572034376,0.7392474301439743,1.4963152175763204,1.3128921703958643,3.093146847821336
1713795767.3268282,2.158077542170632,1.5045571109511278,0.7391986486313695,1.4795849038103235,1.3143435671417176,3.094774901449079
1713795767.3518283,2.1306460674554555,1.5099571618800436,0.7394424053174505,1.4703610748016631,1.315322990063908,3.0966725125895285
1713795767.3768284,2.0905308084908256,1.5187359052723823,0.7397000845847657,1.46604689015716,1.3152911932494193,3.097114747179616
1713795767.4018285,2.0499432394481305,1.5276400451459573,0.7396503166207216,1.4617327055126568,1.3152593964349304,3.097556981769703
1713795767.4268286,2.0093601074146052,1.5365486655426799,0.7396944421386009,1.4200217527926162,1.317359640943738,3.09659720274571
1713795767.4518287,1.9687953197775347,1.5454575463080886,0.740026288865662,1.405541185145239,1.31770180508672,3.0977467876430387
1713795767.4768288,1.928254708747632,1.5543664364711525,0.7401982988563547,1.3883838569656222,1.318717395634657,3.0970634096812533
1713795767.501829,1.8876890157409172,1.563275329800862,0.7401344122062385,1.3701144561007155,1.319579417550673,3.096492097183841
1713795767.526829,1.8470762292140643,1.5721842259819396,0.7397914484893897,1.3581325027190054,1.3203061471210777,3.095493914228502
1713795767.551829,1.8267906002729701,1.5712395216678203,0.7393516849617741,1.3427628533764222,1.320678668694611,3.0938452305589386
1713795767.5768292,1.81423069429197,1.5665645779953945,0.7388135087050733,1.3287236543091587,1.3215602995354674,3.094961941196197
1713795767.6018293,1.8019647523540483,1.5617512903843824,0.7383084047020076,1.3099157451103438,1.3225392672241167,3.095196868911909
1713795767.6268294,1.7896880805682993,1.5569328745276063,0.7380233742474146,1.2967617549738273,1.3227499281967576,3.094814759146907
1713795767.6518295,1.777394199347941,1.5521142708919489,0.7381542034524841,1.2818521509664937,1.322874971888421,3.0930147765577387
1713795767.6768296,1.765073759683816,1.5472956625735803,0.7383829000478596,1.2671701739359864,1.322448387267613,3.090452188801933
1713795767.7018297,1.7527740281519018,1.542477056266955,0.7386032346349807,1.2513839653088594,1.324709901813063,3.095880797106439
1713795767.7268298,1.7405335899982384,1.5376584521407037,0.7386918842347623,1.240060120969401,1.3236064930709286,3.089617204402977
1713795767.7518299,1.7274273553184962,1.5375118927251996,0.7388838545789871,1.2240345896399778,1.3237882393609335,3.0882809659392327
1713795767.77683,1.7139364627270814,1.539412456777883,0.7391594237179797,1.207057374540686,1.325907982047099,3.0926356561113524
1713795767.80183,1.7004234010587744,1.541388947588503,0.7393412123517809,1.1890425218279541,1.3278574192356052,3.0973004232742465
1713795767.8268301,1.6868690199115124,1.543368274903786,0.7394510043816558,1.1739981346527077,1.3278081849143484,3.0947926548043174
1713795767.8518302,1.6733563784086531,1.545347670694656,0.7395804517757318,1.1616116760362396,1.3274255878857828,3.091257851955993
1713795767.8768303,1.659877716489535,1.5473270910042984,0.7396692327857306,1.1483779693950293,1.3295638517705366,3.0960758502903025
1713795767.9018304,1.6463824528728592,1.5493065131807786,0.7397734504375854,1.129610280434524,1.3305268619238482,3.096019369307257
1713795767.9268305,1.6328740719170227,1.5512846233448694,0.7399256885628599,1.115320986727262,1.3297903768852706,3.0917630782696413
1713795767.9518306,1.6220165340447021,1.5517775036144967,0.7400438122231018,1.1023265622909733,1.3305736138529192,3.0925353374245974
1713795767.9768307,1.611288583803817,1.552215306385666,0.7403076978335064,1.086290570358975,1.3321255704070294,3.0966832218894935
1713795768.0018308,1.6005744426600579,1.5526510560433429,0.7404844915207831,1.0771644205211226,1.3294685128300405,3.089551840586729
1713795768.026831,1.5899029205292818,1.5530867201304062,0.7405041862409526,1.0617458323787314,1.3311032042710005,3.089569779199182
1713795768.051831,1.5791496133089074,1.5535223719996754,0.7405698793658205,1.0451042680520546,1.3319947308812217,3.0885312537163516
1713795768.076831,1.568365357236068,1.553958014693026,0.7408606824645776,1.0240286969862413,1.3328625019696196,3.089192283036849
1713795768.1018312,1.5576765473211263,1.5543936486180157,0.741284425857734,1.0137901839113488,1.3340402780074858,3.0906588527630414
1713795768.1268313,1.5469954373490673,1.5548292740687133,0.7413958038408162,1.0076436758584535,1.3342456960351765,3.0905431125908387
