,time,pos_x,pos_y,yaw,v_x,v_y,w,a_x,a_y
4528,1713795826.811623,1.9838141264433957,1.1524917143945936,0.6466077498407085,0.7366982039258069,-0.006111588556005729,-0.008954191670928927,0.06627613281849382,-0.4940714192313163
4529,1713795826.8316233,1.9725673971856206,1.1471810350340945,0.6467751307367547,0.6851654015897146,-0.006002280943353769,-0.00693291844947855,0.0656621265617686,-0.48522250989333715
4530,1713795826.8516233,1.9612475748833391,1.1418224844497875,0.6467856550563554,0.7035752114935953,-0.005891530873936806,-0.004203527221048798,0.06557292344460346,-0.4762569551887391
4531,1713795826.8716233,1.9500300957085521,1.1364057495067288,0.646701184987286,0.7594122872859445,-0.005779385664778836,-0.0031222265017309256,0.0657942983919172,-0.4671785245273742
4532,1713795826.8916233,1.9388516518813812,1.1309319576174057,0.6466183524637605,0.7617998933784939,-0.005665889625301575,-0.0025105222193981406,0.06576424366772786,-0.4579908654881798
4533,1713795826.9116232,1.9156983019853064,1.1470925324948549,0.6463801001903757,0.7629382219277574,-0.005548442655061263,-0.003576649370329035,0.06580797001101465,-0.4486974836732295
4534,1713795826.9316232,1.889870610345314,1.1693490140383118,0.6458739136094755,0.7633528745046311,-0.005430592311284158,-0.004644759185450571,0.06592626932353578,-0.43930190856570783
4535,1713795826.9516232,1.8640167265140033,1.1920631768529961,0.6452564630943283,0.7422782649110949,-0.005312526538250685,-0.004575621196051374,0.06599058939558618,-0.429807417491293
4536,1713795826.9716232,1.8383400278412987,1.214397241433253,0.6447685548229722,0.6891315361766512,-0.005193761924602681,-0.005056148597962397,0.06593834321068023,-0.4202171712498571
4537,1713795826.9916232,1.8128721073034582,1.2362365954646954,0.6446767959769754,0.6843487207763286,-0.005074049587601815,-0.003044289019483567,0.06626193882473379,-0.4105342466668248
4538,1713795827.0116231,1.7877291762298575,1.2575397403893167,0.6448034661918113,0.7112862926058523,-0.006010705997854261,-0.0006964619067849572,0.0930665640419264,-0.4880150187034129
4539,1713795827.0316231,1.7628864509732163,1.278295867039608,0.6448878325935045,0.7698542010937232,-0.006911722101986361,-2.2894351178359045e-05,0.11941011328831475,-0.5614778270022098
4540,1713795827.051623,1.7383067725111356,1.2984983413438276,0.6448778639911937,0.7719950020820079,-0.007769999130548167,-0.0025295463978838736,0.14477223004679593,-0.6310520022574276
4541,1713795827.071623,1.7139003085579156,1.3181820390903192,0.6449278234258404,0.740597027748986,-0.008583761716570637,-0.004011300275817877,0.1693231608373898,-0.6968630116694468
