time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1713795751.765457,5.2816471942387775,-0.7516536411507913,0.0,0.0,0.0,0.03396585967860339,0.9994229937200232,0.11698927956431031,0.0,0.0,0.0,0.0,0.008590216241908616
1713795751.7855086,5.282384942555669,-0.7516034130902188,0.0,0.0,0.0,0.03399907073751543,0.9994218644741496,0.0994212525541635,0.0,0.0,0.0,0.0,0.010144004036131521
1713795751.8054636,5.2824927318178725,-0.7515960588138862,0.0,0.0,0.0,0.03411046588992075,0.9994180687363885,0.09996267219883277,0.0,0.0,0.0,0.0,0.011261120052940509
1713795751.82552,5.2824927318178725,-0.7515960588138862,0.0,0.0,0.0,0.03411046588992075,0.9994180687363885,0.08276959169317888,0.0,0.0,0.0,0.0,0.009487876416765203
1713795751.8454778,5.282480796765466,-0.751596874458506,0.0,0.0,0.0,0.03411046588992075,0.9994180687363885,0.0638409842313368,0.0,0.0,0.0,0.0,0.010267715197027103
1713795751.86549,5.28245692673296,-0.7515985068053561,0.0,0.0,0.0,0.034154747075109904,0.9994165564229138,0.04480374041680563,0.0,0.0,0.0,0.0,0.006588200803718605
1713795751.8855553,5.282408814138784,-0.7516018034329847,0.0,0.0,0.0,0.03424400113514142,0.9994135022032955,0.032787704759952366,0.0,0.0,0.0,0.0,0.007699781479943907
1713795751.9055185,5.2823966928042765,-0.7516026347884937,0.0,0.0,0.0,0.03422151467285793,0.9994142724283536,0.019492909701258464,0.0,0.0,0.0,0.0,0.0016857393604384201
1713795751.9254782,5.282264847570837,-0.7516116421460931,0.0,0.0,0.0,0.03397693003574248,0.9994226174273555,0.008508122401410174,0.0,0.0,0.0,0.0,0.0038993606054708225
1713795751.945531,5.282174959049865,-0.7516177459522583,0.0,0.0,0.0,0.033810182340581585,0.9994282723487947,0.0026370731275905277,0.0,0.0,0.0,0.0,-0.0015601569086144667
1713795751.9654815,5.282174959049865,-0.7516177459522583,0.0,0.0,0.0,0.033810182340581585,0.9994282723487947,0.0026370731275905277,0.0,0.0,0.0,0.0,-0.0015601569086144667
1713795751.985476,5.282174959049865,-0.7516177459522583,0.0,0.0,0.0,0.033810182340581585,0.9994282723487947,-0.0010506716615378692,0.0,0.0,0.0,0.0,-0.001891602345222266
1713795752.0054896,5.282174959049865,-0.7516177459522583,0.0,0.0,0.0,0.033810182340581585,0.9994282723487947,-0.0015920913062071377,0.0,0.0,0.0,0.0,-0.003008718362031254
1713795752.025507,5.282180926815578,-0.7516173416498867,0.0,0.0,0.0,0.0338212527562011,0.9994278977805258,-0.0015622096987373039,0.0,0.0,0.0,0.0,-0.0028980457417726096
1713795752.0454848,5.282180926815578,-0.7516173416498867,0.0,0.0,0.0,0.0338212527562011,0.9994278977805258,-0.0015022694287587512,0.0,0.0,0.0,0.0,-0.0028980457417726096
1713795752.065499,5.282180926815578,-0.7516173416498867,0.0,0.0,0.0,0.0338212527562011,0.9994278977805258,-0.0013827130948416999,0.0,0.0,0.0,0.0,-0.003340846978502429
