,distance_44AE,distance_06A5,distance_CBB0,distance_4F9B
594,5.28,4.55,3.0,1.24
595,5.23,4.5200000000000005,3.0,1.22
596,5.32,4.44,3.0700000000000003,1.21
597,5.4,4.51,3.02,1.16
598,5.49,4.62,3.04,1.11
599,5.48,4.6000000000000005,3.13,1.12
600,5.5200000000000005,4.64,3.12,1.1400000000000001
601,5.5,4.62,3.12,1.11
602,5.48,4.62,3.08,1.11
603,5.5600000000000005,4.68,3.17,1.1300000000000001
604,5.48,4.67,3.14,1.09
605,5.55,4.66,3.2,1.11
606,5.44,4.68,3.04,1.08
607,5.39,4.79,2.95,1.24
608,5.28,4.83,2.9,1.28
609,5.23,4.83,2.73,1.35
610,5.24,4.8100000000000005,2.65,1.4000000000000001
611,5.2700000000000005,4.88,2.56,1.53
612,5.23,4.89,3.0500000000000003,1.59
613,5.16,4.94,2.0100000000000002,1.7
614,5.22,4.95,2.05,1.78
615,5.1000000000000005,5.07,1.94,1.96
616,5.1000000000000005,5.07,1.97,1.94
617,5.12,5.07,1.93,1.94
618,5.14,5.07,1.92,1.95
619,5.13,5.08,1.95,1.92
620,5.12,5.08,1.92,1.95
621,5.12,5.08,1.96,1.8900000000000001
622,5.12,5.07,1.94,1.9100000000000001
623,5.17,5.09,1.95,1.93
624,5.09,5.05,1.93,1.9100000000000001
625,5.15,5.09,1.97,1.95
626,5.15,5.07,1.92,1.93
627,5.12,5.07,1.8900000000000001,1.9100000000000001
628,5.12,5.08,1.9000000000000001,1.9100000000000001
629,5.13,5.1000000000000005,1.87,1.9000000000000001
630,5.13,5.08,1.92,1.96
