time_sec,time_nanosec,distance_44AE,distance_06A5,distance_CBB0,distance_4F9B
1713795812,158085129,122,264,472,536
1713795812,349895676,112,265,490,549
1713795812,553539094,96,266,501,553
1713795812,756182950,94,265,515,565
1713795812,947526780,91,258,519,569
1713795813,151366498,89,264,513,571
1713795813,352007365,88,267,505,570
1713795813,545375467,80,281,509,574
1713795813,749661652,84,277,523,578
1713795813,949352470,81,284,522,584
1713795814,150260494,75,287,526,586
1713795814,342374046,75,287,529,586
1713795814,545492708,74,288,526,586
1713795814,747150255,76,290,528,588
1713795814,940010156,74,277,522,587
1713795815,143341824,90,269,530,581
1713795815,344998417,102,259,528,567
1713795815,539458793,112,243,535,578
1713795815,742529159,121,237,533,564
1713795815,943499037,135,247,540,563
1713795816,139453789,153,198,540,560
1713795816,340373132,168,182,551,550
1713795816,533934666,185,163,551,546
1713795816,736587663,200,148,556,548
1713795816,937452962,221,127,558,548
1713795817,139257340,241,111,574,540
1713795817,333147807,234,92,573,533
1713795817,535493350,245,79,572,540
1713795817,728953965,252,74,580,531
1713795817,931797653,261,70,588,531
1713795818,132920946,263,68,595,537
1713795818,333748881,255,66,590,540
1713795818,525231012,260,65,587,537
1713795818,729630917,260,56,602,537
1713795818,926065502,265,66,600,543
1713795819,126959264,273,66,603,542
1713795819,327314918,269,66,603,544
1713795819,529094240,274,65,602,540
1713795819,720825916,275,67,601,541
1713795819,924489395,276,65,601,538
1713795820,125079966,274,58,599,542
1713795820,318938320,276,58,594,544
1713795820,521906445,277,57,598,542
1713795820,723311164,273,60,593,543
1713795820,915890705,274,58,594,543
1713795821,118873324,274,65,597,537
1713795821,319562653,273,64,598,541
1713795821,520430767,270,60,597,536
1713795821,712687281,273,70,592,530
1713795821,916500115,270,71,582,519
1713795822,117521574,276,76,570,505
1713795822,310674505,281,91,551,494
1713795822,513463076,289,100,543,478
1713795822,715982395,297,118,529,462
1713795822,909144165,293,125,518,444
1713795823,112585521,307,139,511,438
1713795823,313895565,310,148,496,420
1713795823,505360715,324,163,486,419
1713795823,708907217,329,182,474,408
1713795823,911517133,326,193,457,393
1713795824,103041190,338,209,448,386
1713795824,306692860,341,219,435,369
1713795824,506996948,344,236,426,363
1713795824,708876498,359,243,426,349
1713795824,902062017,359,257,404,339
1713795825,103586982,365,269,400,333
1713795825,304515791,378,283,391,321
1713795825,497642879,381,293,388,313
1713795825,700486531,395,305,372,308
1713795825,903230635,401,320,369,302
1713795826,95302050,417,328,359,295
1713795826,299430212,423,344,353,231
1713795826,500272077,432,354,348,251
1713795826,700524332,445,371,339,252
1713795826,894169065,457,381,329,251
1713795827,95654262,467,392,320,190
1713795827,296824747,480,408,311,181
1713795827,497048419,488,427,300,167
1713795827,692559435,501,437,303,147
1713795827,895257109,512,448,290,135
1713795828,87514173,525,456,289,129
1713795828,290985243,525,453,287,124
1713795828,491615646,533,454,293,121
1713795828,692217229,530,452,291,123
1713795828,886589226,538,454,291,121
1713795829,87791683,544,460,289,111
1713795829,289816883,546,462,293,111
1713795829,482364163,554,461,298,110
1713795829,685057006,548,471,304,109
1713795829,887363387,553,467,304,111
1713795830,79576450,549,467,307,108
1713795830,285262682,553,472,303,109
1713795830,485901214,542,482,288,116
1713795830,681435958,530,476,326,131
1713795830,882303401,524,483,328,134
1713795831,76192524,521,484,292,152
1713795831,279970291,518,486,258,166
1713795831,480271217,507,491,216,178
1713795831,681141357,516,499,189,186
1713795831,872552859,494,498,177,199
1713795832,75828631,508,505,164,209
1713795832,276666068,496,514,154,223
1713795832,470038918,480,515,135,246
1713795832,673908634,500,527,123,263
1713795832,874316021,480,532,120,265
1713795833,69442769,473,531,118,261
1713795833,271520164,473,536,116,263
1713795833,471072756,465,542,112,268
1713795833,670895287,543,544,105,267
1713795833,871960730,538,546,106,266
1713795834,65704145,527,548,101,266
1713795834,267105646,500,560,101,267
1713795834,467931837,496,553,98,267
1713795834,669260603,493,560,97,265
1713795834,860668224,494,552,90,267
1713795835,63841231,496,553,90,266
1713795835,264397226,494,554,93,276
1713795835,458067332,492,551,94,277
1713795835,661061022,494,557,98,278
1713795835,864336911,494,551,96,281
1713795836,59681911,493,551,90,278
1713795836,263511221,500,552,100,281
1713795836,454393691,498,535,118,283
1713795836,656962819,479,516,121,287
1713795836,860010230,469,505,138,289
1713795837,53630093,432,487,158,300
1713795837,255565727,429,472,173,308
1713795837,456009885,398,454,196,311
1713795837,649567830,396,444,221,324
1713795837,852663956,378,427,239,336
1713795838,47547139,358,408,257,347
1713795838,251133124,334,394,281,356
1713795838,453550907,318,386,296,376
1713795838,645733864,299,372,308,386
1713795838,848991699,288,360,327,401
1713795839,51478733,268,350,342,412
1713795839,245840535,260,339,361,431
1713795839,447415798,246,332,376,449
1713795839,647994517,219,315,385,461
1713795839,848359072,183,311,406,480
1713795840,42358259,174,301,428,492
1713795840,244098519,152,291,440,510
1713795840,445717048,135,279,458,520
1713795840,637620966,114,274,482,540
1713795840,840347344,97,272,494,559
1713795841,41469485,90,272,502,557
1713795841,243284228,93,277,494,564
1713795841,436503414,86,279,496,570
1713795841,638588888,83,277,492,571
1713795841,839243574,81,293,493,574
1713795842,32709329,79,292,503,582
1713795842,238752918,85,294,500,582
1713795842,429937387,72,301,507,587
1713795842,634694215,77,296,513,587
1713795842,836291645,77,303,514,586
1713795843,27928812,79,303,510,589
1713795843,232645466,79,297,512,588
1713795843,433463097,84,287,517,575
1713795843,625569157,101,275,518,572
1713795843,828878745,104,276,518,563
1713795844,32489745,120,268,520,554
1713795844,225266923,131,185,520,562
1713795844,427468950,140,192,521,555
1713795844,628992369,154,186,529,544
1713795844,821203530,168,180,533,538
1713795845,24176853,184,169,527,535
1713795845,226197261,201,146,542,528
1713795845,418884152,221,138,540,523
