time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1713795787010696511,5046.427734375,292.60064697265625,-46.19620132446289,-0.0004348912334535271,0.008476132526993752,0.716082751750946,0.6979637742042542
1713795787030082600,5045.68505859375,305.88201904296875,-46.65314483642578,-0.0005108318873681128,0.008515341207385063,0.7155959606170654,0.6984623074531555
1713795787051399328,5045.31201171875,318.7710266113281,-46.89975357055664,-0.0009926332859322429,0.00880542490631342,0.7154831290245056,0.6985738277435303
1713795787070664450,5045.4423828125,331.3934631347656,-46.69164276123047,-0.001700225635431707,0.00874633900821209,0.7154154777526855,0.6986424922943115
1713795787097078589,5044.35302734375,344.6607971191406,-47.09941101074219,-0.0012714819749817252,0.00860887672752142,0.715316891670227,0.6987460255622864
1713795787120307449,5043.80615234375,364.1012878417969,-47.42302322387695,-0.0016324243042618036,0.008167681284248829,0.7157067060470581,0.6983513236045837
1713795787146116129,5043.2880859375,383.2522277832031,-47.93461608886719,-0.0018170785624533892,0.008912281133234501,0.716128945350647,0.6979086995124817
1713795787173297762,5043.13330078125,402.7541198730469,-48.14006423950195,-0.0015744364354759455,0.00882224552333355,0.7164742946624756,0.6975559592247009
1713795787196809411,5042.8955078125,415.7256774902344,-48.477359771728516,-0.00164308852981776,0.00897249300032854,0.7162807583808899,0.6977525949478149
1713795787228236873,5043.2626953125,428.78411865234375,-48.58186340332031,-0.0017208775971084833,0.00838940404355526,0.7158575057983398,0.6981938481330872
1713795787253781621,5042.13623046875,448.466064453125,-49.15582275390625,-0.001179445069283247,0.008431502617895603,0.715724527835846,0.698330819606781
1713795787270712556,5041.60791015625,461.5760498046875,-49.209171295166016,-0.0011230488307774067,0.008294127881526947,0.7157002091407776,0.6983574628829956
1713795787297449156,5041.1455078125,474.5302734375,-49.31568145751953,-0.0008825513068586588,0.008060312829911709,0.7160280346870422,0.6980244517326355
1713795787318516409,5040.89208984375,493.7840576171875,-49.65805435180664,-0.0005181849119253457,0.008152262307703495,0.7165969014167786,0.6974397301673889
1713795787338479810,5040.369140625,506.2085876464844,-50.0944709777832,-0.00023013833560980856,0.00948331505060196,0.7166469693183899,0.6973716020584106
1713795787496393970,5039.1064453125,601.9373779296875,-50.47186279296875,-0.0006946021458134055,0.006225105375051498,0.7156562209129333,0.6984246373176575
1713795787518983567,5038.6728515625,621.5589599609375,-50.88252258300781,-0.0011567481560632586,0.005942960735410452,0.7159422039985657,0.6981333494186401
1713795787537940476,5038.1533203125,634.5018310546875,-51.26786804199219,-0.0014158766716718674,0.006825331598520279,0.7158305048942566,0.6982393264770508
1713795787564497862,5038.001953125,654.3626098632812,-51.24504852294922,-0.0015526151983067393,0.006363328080624342,0.716140866279602,0.6979250311851501
1713795787597904224,5037.96142578125,667.499267578125,-51.28722381591797,-0.0019165708217769861,0.006057479418814182,0.7163153290748596,0.6977478265762329
1713795787619277803,5037.17578125,686.77099609375,-51.93284606933594,-0.002081182785332203,0.006854814477264881,0.7161035537719727,0.6979572772979736
1713795787640207118,5037.0869140625,699.6814575195312,-52.213932037353516,-0.0023726830258965492,0.006379614118486643,0.7161170244216919,0.697947084903717
1713795787665158349,5036.8701171875,712.65478515625,-52.304813385009766,-0.0021727150306105614,0.005888563580811024,0.7162247896194458,0.6978414058685303
