time,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1713795750216809263,0.52,0.0,0.0,0.0,0.0,0.0
1713795750226855129,0.52,0.0,0.0,0.0,0.0,0.0
1713795750237938430,0.52,0.0,0.0,0.0,0.0,0.0
1713795750246761363,0.52,0.0,0.0,0.0,0.0,0.0
1713795750257691639,0.52,0.0,0.0,0.0,0.0,0.0
1713795750267500672,0.52,0.0,0.0,0.0,0.0,0.0
1713795750275583698,0.52,0.0,0.0,0.0,0.0,0.0
1713795750286393358,0.52,0.0,0.0,0.0,0.0,0.0
1713795750296686535,0.52,0.0,0.0,0.0,0.0,0.0
1713795750306954988,0.52,0.0,0.0,0.0,0.0,0.0
1713795750316194529,0.52,0.0,0.0,0.0,0.0,0.0
1713795750331601051,0.52,0.0,0.0,0.0,0.0,0.0
1713795750338022536,0.52,0.0,0.0,0.0,0.0,0.0
1713795750483542439,0.52,0.0,0.0,0.0,0.0,0.0
1713795750486808950,0.52,0.0,0.0,0.0,0.0,0.0
1713795750486954501,0.52,0.0,0.0,0.0,0.0,0.0
1713795750487061359,0.48,0.0,0.0,0.0,0.0,0.0
1713795750487093766,0.48,0.0,0.0,0.0,0.0,0.0
1713795750487122331,0.46,0.0,0.0,0.0,0.0,0.0
1713795750487152433,0.46,0.0,0.0,0.0,0.0,0.0
1713795750487217735,0.46,0.0,0.0,0.0,0.0,0.0
1713795750487240225,0.46,0.0,0.0,0.0,0.0,0.0
1713795750487270326,0.45,0.0,0.0,0.0,0.0,0.0
1713795750487289603,0.45,0.0,0.0,0.0,0.0,0.0
1713795750487300079,0.43,0.0,0.0,0.0,0.0,0.0
1713795750487309228,0.43,0.0,0.0,0.0,0.0,0.0
1713795750487318238,0.43,0.0,0.0,0.0,0.0,0.0
1713795750489581050,0.37,0.0,0.0,0.0,0.0,0.0
1713795750510119004,0.37,0.0,0.0,0.0,0.0,0.0
1713795750510158535,0.36,0.0,0.0,0.0,0.0,0.0
1713795750516561372,0.36,0.0,0.0,0.0,0.0,0.0
1713795750526253978,0.36,0.0,0.0,0.0,0.0,0.0
1713795750538684112,0.34,0.0,0.0,0.0,0.0,0.0
1713795750546287184,0.34,0.0,0.0,0.0,0.0,0.0
1713795750555279344,0.34,0.0,0.0,0.0,0.0,0.0
1713795750568339942,0.34,0.0,0.0,0.0,0.0,0.0
1713795750574616575,0.34,0.0,0.0,0.0,0.0,0.0
1713795750584970096,0.34,0.0,0.0,0.0,0.0,0.0
1713795750596794280,0.34,0.0,0.0,0.0,0.0,0.0
1713795750607230424,0.34,0.0,0.0,0.0,0.0,0.0
1713795750616343691,0.34,0.0,0.0,0.0,0.0,0.0
1713795750628278225,0.34,0.0,0.0,0.0,0.0,0.0
1713795750636606956,0.34,0.0,0.0,0.0,0.0,0.0
1713795750646260520,0.34,0.0,0.0,0.0,0.0,0.0
1713795750657791578,0.34,0.0,0.0,0.0,0.0,0.0
1713795750667829483,0.34,0.0,0.0,0.0,0.0,0.0
1713795750679054562,0.34,0.0,0.0,0.0,0.0,0.0
1713795750687529892,0.34,0.0,0.0,0.0,0.0,0.0
1713795750697679614,0.34,0.0,0.0,0.0,0.0,0.0
1713795750707205437,0.34,0.0,0.0,0.0,0.0,0.0
1713795750718224273,0.34,0.0,0.0,0.0,0.0,0.0
1713795750725773846,0.34,0.0,0.0,0.0,0.0,0.0
1713795750735165573,0.34,0.0,0.0,0.0,0.0,0.0
1713795750747090400,0.32,0.0,0.0,0.0,0.0,0.0
1713795750756768967,0.32,0.0,0.0,0.0,0.0,0.0
1713795750766649099,0.32,0.0,0.0,0.0,0.0,0.0
