,time,pos_x,v_x,a_x,pos_y,v_y,a_y,yaw,w
11148,1713795850.645508,3.7668274686451437,-0.8070455578584182,0.06753295927012654,1.3763036432650366,-0.25762866193044986,-0.48216777015068435,-1.8689641529088459,-0.002159376321980037
11149,1713795850.663,3.753959546623145,-0.8071519521095246,0.08768293817903783,1.3702053874925761,-0.2608157544603263,-0.4935649283129674,-1.866900158236043,0.013981404254392774
11150,1713795850.6655493,3.750329804750334,-0.8010358732504326,0.08768319548574365,1.3691697929172149,-0.2599625516715854,-0.49356475611458517,-1.8669927598299678,0.012742534952060429
11151,1713795850.683,3.7365347936478273,-0.7955212165257841,0.08903718174471871,1.3695822610972064,-0.27988242144894326,-0.4661870084559303,-1.8646662718808613,0.02859476817761255
11152,1713795850.6854918,3.735334085779683,-0.7944463625894789,0.08903722448264587,1.3692092077769196,-0.27986511117095536,-0.46618698295215416,-1.865399439435622,0.02235527637529282
11153,1713795850.7055411,3.6968054915091426,-0.8379616119036013,0.08903510565564988,1.385768630015177,-0.15888804068005635,-0.46621741217692586,-1.8651541834783978,0.02235527637529282
11154,1713795850.707,3.68998448813523,-0.7151212759362556,0.08904050507855238,1.3834850800248277,-0.21708316509279224,-0.4661709381369228,-1.866253247750195,0.012149161115754339
11155,1713795850.726285,3.687480360808297,-0.7132237949839337,0.0936206046964949,1.3829563539011747,-0.2265522776414444,-0.4584538646913923,-1.865541604729218,0.01755952989546022
11156,1713795850.739,3.675727800224431,-0.7148214062256335,0.09362045068203705,1.3790671824947192,-0.23801001514217401,-0.4584528752140773,-1.8653655461284262,0.016687657580596503
11157,1713795850.745484,3.664851799574831,-0.7086643606899246,0.09886787458131738,1.3760811272144546,-0.2586054978163562,-0.44162649157174955,-1.8665673965846659,0.005751872136666138
11158,1713795850.764,3.661735985180484,-0.7907913343655852,0.0988640652111889,1.3738954255555489,-0.31293039467270767,-0.44162444942415574,-1.8668446341647005,0.0033847323369162376
11159,1713795850.7655044,3.6475772455850404,-0.7935325075495755,0.11113800878567782,1.3670565098671619,-0.30862094093029746,-0.4597191532371575,-1.8682939725535366,-0.007930707439034571
11160,1713795850.785509,3.64564014544824,-0.794684862045017,0.11113794400609056,1.3662866934418,-0.31054490414291286,-0.4597191799675968,-1.8677958265909955,-0.003828595947574693
11161,1713795850.787,3.630009802227807,-0.7941097436357463,0.09141580609517751,1.3598557307554193,-0.3165546530910619,-0.4632349895665519,-1.8684584432067306,-0.008234416872591105
11162,1713795850.804,3.62960548021525,-0.7923667955548085,0.0914158825322161,1.3597034137887334,-0.3159918418370652,-0.4632349126487885,-1.8685139303861495,-0.008645706984447563
11163,1713795850.8044984,3.613330409876589,-0.7097300263951982,0.09142373744439287,1.3548077779812022,-0.2721391756828579,-0.4632308843158745,-1.8683678681124418,-0.006244483965049019
11164,1713795850.8054814,3.5999501108870486,-0.6061678289870096,0.09143297114244917,1.3471344825240534,-0.26522044523252986,-0.463220467532754,-1.8678609721782446,-0.0016802130220696246
11165,1713795850.8254771,3.5846065496422512,-0.5565305221653162,0.0914392648988516,1.3506748129581665,-0.16309465740788373,-0.4632236759497077,-1.867892895831563,-0.0016685378497681138
11166,1713795850.826,3.574147610811182,-0.5528852763662181,0.0820489915010547,1.349341291316099,-0.17615155858284548,-0.4506074432085228,-1.8676881557874359,-3.597368879508793e-05
11167,1713795850.845467,3.5650753227768983,-0.7840783921210903,0.0820379563825171,1.3723199348486614,-0.05309121150873378,-0.45063489382182204,-1.8671732021014456,0.0038225373729987274
11168,1713795850.86,3.55177712789854,-0.7563517249590361,0.0820397679857935,1.364794871544372,-0.10809017341885599,-0.4506308421526506,-1.867110362179332,0.003724787081922125
11169,1713795850.8654714,3.550925676329433,-0.7561306582407652,0.05831017112127822,1.367487510578715,-0.11013367848302905,-0.4373309703913816,-1.8679202861577482,-0.0025688265222298784
11170,1713795850.884,3.5418632541329953,-0.7554526765910804,0.05636292449952907,1.3662018001360843,-0.11541878741135445,-0.43701908569830417,-1.869205851572257,-0.012193537368587385
11171,1713795850.8854897,3.5573446932440125,-0.7522541451409814,0.05636324013773811,1.3630326194563505,-0.1401144034439794,-0.4369958824808838,-1.8692124828175691,-0.012193537368587385
11172,1713795850.905,3.5524166305972296,-0.8450744598215114,0.05636098407479375,1.3619507118362355,-0.17562425863221795,-0.4369875863656971,-1.8683991743309325,-0.004956480279068915
11173,1713795850.9054985,3.538529193461535,-0.8435942320982441,0.06124279323743898,1.3591184839378019,-0.18517641710521884,-0.4331393329425456,-1.8696531024401413,-0.013997659863427797
