time,x_filter,v_x_filter,y_filter,v_y_filter,yaw_filter,w_filter,x_ref,y_ref,yaw_ref,v_x_ref,v_y_ref,w_ref
1713795736.772999,-0.5319599966133793,-0.002344209884476638,-0.056728503961266746,-0.001587779167368519,-0.0004312837719867162,-0.0006687149894725522,-0.007536676495757951,-0.0036122519262212047,-0.032565778205314956,-0.006220212624506068,0.003166431611064835,0.05879963392316906
1713795736.792999,-0.6190931026548337,0.0008497024952903651,-0.02611891505318457,-0.0013624323808808098,-0.00041664052689589207,-0.0004549129208971935,-0.008130335787874065,-0.0031548794987127536,-0.027943515856660803,-0.007591186820134606,0.005879580406124983,0.058935256801559616
1713795736.812999,-0.6191332131348466,-0.0009675443958857497,-0.026116093505160982,-0.0006519612505091006,-0.000443211340075041,-0.0005880210683207463,-0.007737396170361267,-0.0034562223497071162,-0.031010561765309544,0.018937838478952716,-0.012999910568391433,-0.14401486963614657
1713795736.832999,-0.6191020088782178,0.0018599094965954697,-0.026671299038302204,-0.0007093338084753218,-0.0004634857279512857,-0.0006148731943631333,-0.007537877285481798,-0.0035295005915547957,-0.0323715304381168,0.0029574463413621173,0.0022740460123771063,-0.011650982317915969
1713795736.852999,-0.6192421913855637,-0.0031280943862999453,-0.027997194301510642,-0.001843332099046338,-0.00046988143880056414,-0.0005636981328550045,-0.0075055549599543515,-0.0035402278936049005,-0.03256681614365308,0.0004945912530408118,-0.002522203425380605,-0.006655054887085504
1713795736.872999,-0.6191093789068561,0.0017589037703329093,-0.029935371146279238,-0.0025370373916186015,-0.00046208710729234024,-0.00039035630046991535,-0.007506729845091346,-0.003584939555291089,-0.032562667282506445,-0.0003563042810412962,-0.001435951858247892,0.004287495159103485
1713795736.892999,-0.619227713025307,-0.0016528500140777643,-0.03123740625800161,-0.004185245779026029,-0.0004576350199583584,-0.000297186105036241,-0.007499622102241006,-0.0035711090074366254,-0.032623307391346015,-0.0066559048773131785,0.006986997340897163,0.04047989881840386
1713795736.912999,-0.6192051910988176,0.0008945147307793232,-0.03730919809738341,-0.010113747665776671,-0.0002171427026078905,0.0015984789230383354,-0.008031566832394074,-0.0031647545154790064,-0.029242601532294646,-0.030833586722524613,0.022711706014803785,0.19162567736878838
1713795736.932999,-0.6190263652445668,0.006775797880638168,-0.04266098466348395,-0.01775496808595548,0.0011190451133430953,0.011615165073106625,-0.00828081466248248,-0.0029774259973747064,-0.028008104992473682,0.0034907904298104447,-0.0023965081064337155,-0.0385328150326549
1713795736.9529989,-0.6186471319376373,0.01510808857910427,-0.03300407076520537,-0.01911239767572882,0.0019125590222130466,0.016745533060193916,-0.007865127587486179,-0.0032863534766982513,-0.030522163908023987,0.02591013789333519,-0.019303970766714564,-0.14270499472816028
