time,x,y,distance_44AE,distance_06A5,distance_CBB0,distance_4F9B,yaw,v_x,v_y,w,a_x,a_y
1713795787.7916605,5.378156446931399,0.5509287613269072,2.0345472737429375,1.4338877771570935,5.468435050900031,5.383080707014281,-0.8090744654190003,0.6460300178662746,0.0,0.0028144810800008494,0.3383541581950737,-0.8305864733689106
1713795787.8116605,5.379681297103783,0.5658619969918919,2.0523422264020192,1.4230130838654325,5.475355310267452,5.382092098533221,-0.8086483165500041,0.6509709003152299,0.0,-0.004077530185877727,0.34649443544699915,-0.8368113917583031
1713795787.8316605,5.381206147276166,0.5807952326568766,2.070137179061101,1.4121383905737714,5.482275569634873,5.381103490052161,-0.808071944069527,0.6831512422030915,0.0,-0.0035878021457177826,0.3546347126989246,-0.8430363101476956
1713795787.8516605,5.38273099744855,0.5957284683218614,2.0879321317201827,1.4012636972821102,5.489195829002294,5.3801148815711,-0.8075931786965528,0.7370926051900323,0.0,-0.0023473037945352195,0.36277498995085006,-0.8492612285370882
1713795787.8716605,5.385349249841906,0.6128166279257249,2.107635948427613,1.389418430943432,5.5005815690565685,5.378236405157239,-0.8074779344152698,0.7364900376364185,0.0,-0.0001889204104736971,0.3709152672027755,-0.8554861469264807
1713795787.8916605,5.388111267711133,0.6301881266884028,2.127590751225082,1.3774455492649507,5.51255445073505,5.376240924877492,-0.8077956898042422,0.7100645933940279,0.0,-0.007524308016804632,0.37905554445470097,-0.8617110653158733
1713795787.9116604,5.3908732855803585,0.6475596254510809,2.147545554022551,1.3654726675864692,5.5245273324135304,5.374245444597745,-0.8083701203615048,0.6536732625788063,0.0,-0.0052032848362536105,0.3871958217066264,-0.8679359837052658
1713795787.9316604,5.393635303449585,0.6649311242137589,2.1675003568200197,1.353499785907988,5.536500214092012,5.372249964317998,-0.8090587110753094,0.6558810597306244,0.0,-0.0030070359449713567,0.3953360989585519,-0.8741609020946584
1713795787.9516604,5.396397321318811,0.6823026229764368,2.187455159617489,1.3415269042295066,5.548473095770493,5.370254484038251,-0.8096621876061241,0.6634419909436524,0.0,-0.014224235399458662,0.4034763762104773,-0.8803858204840509
1713795787.9716604,5.399159339188038,0.6996741217391149,2.2074099624149577,1.3295540225510252,5.560445977448975,5.368259003758505,-0.8100450044546348,0.6824005809386657,0.0,-0.02113207477962322,0.4116166534624028,-0.8866107388734434
1713795787.9916604,5.4019213570572635,0.7170456205017929,2.227364765212427,1.317581140872544,5.572418859127456,5.366263523478757,-0.8100585399670251,0.7364746014384655,0.0,-0.013560299496354367,0.41975693071432824,-0.892835657262836
1713795788.0116603,5.40468337492649,0.7344171192644708,2.2473195680098956,1.3056082591940625,5.584391740805938,5.364268043199011,-0.8095563488869837,0.7086934548841325,0.0,-0.001414401671880117,-1.0507211230924156,-2.5914340129463085
