,time,pos_x,pos_y,yaw,v_x,v_y,w,a_x,a_y,alpha
5983,1713795797.565479,1.4244719431987969,1.441621119045754,0.6719163584865714,-0.38487386569777654,0.027499917495664647,0.0085840416948627,-0.015297958245756206,0.0012358936902847196,0.011436362578457957
5984,1713795797.576,1.4163717838293661,1.442199906639969,0.6727351272553822,-0.38519576362786107,0.027525925151120748,0.008841797403368224,-0.015297958452922618,0.001235895276485373,0.011452009212765013
5985,1713795797.585489,1.4090601326854697,1.4427224077821756,0.6729014530835267,-0.38548606003830704,0.027549379388102212,0.008897543085713918,-0.015297951386582883,0.0012358951047814581,0.011293955994426966
5986,1713795797.599,1.3986407786964457,1.4434670693933616,0.6732550278866126,-0.38589944229121914,0.02758277530927182,0.009205988385851148,-0.015297953413989051,0.0012358948895907192,0.011297033083905008
5987,1713795797.6054113,1.3936919215526538,1.4438208034242874,0.6733709904977102,-0.3860955739183128,0.027598621985465626,0.009161535527725462,-0.015297946767996453,0.001235894715051452,0.011117223372626677
5988,1713795797.6082878,1.3823338796381301,1.428699929912223,0.6734237891689364,-0.3932022249954308,0.0158681740923338,0.00922549336196482,-0.016786107859846966,-0.0012528173118031148,0.011117223372626677
5989,1713795797.615,1.377054617000212,1.428912895438274,0.6728007401312522,-0.3934275775222172,0.015851358944042205,0.009359779040380675,-0.016786115294110643,-0.0012528147403014843,0.011103609968508888
5990,1713795797.6254609,1.3688216149022518,1.42924439566014,0.673070461301527,-0.39377874751128117,0.0158251475521894,0.014753205920958995,-0.01678610955586943,-0.0012528148277381919,0.0152403051234197
5991,1713795797.638,1.3589436689466796,1.4296410619982751,0.6711404522400458,-0.3941997295422117,0.015793718754936688,0.015068773456205779,-0.01678612155820324,-0.001252823099991376,0.015186550963504417
5992,1713795797.645497,1.3530320492919994,1.4298778047015261,0.6712324889381754,-0.39445139923566636,0.01577493337017331,0.005597171044029098,-0.016786115916729842,-0.0012528231885605456,0.006997906936480391
5993,1713795797.665485,1.3372569072223368,1.4305079171012152,0.6714423279328415,-0.3951224097598737,0.01572485057926087,0.00524422340887618,-0.01678610992679672,-0.001252823278255666,0.00633590864063217
5994,1713795797.67,1.3336884652069136,1.4306498902514948,0.669994124633018,-0.39527401471839374,0.01571353250389639,0.005268064903581205,-0.01678612614415849,-0.001252826933306835,0.0063106709090237165
5995,1713795797.685475,1.321450699596146,1.4311359249543905,0.6701689707214292,-0.3957935220914022,0.015674757039610444,0.005985071211141056,-0.016786120370038408,-0.0012528270241246066,0.006829946121790707
5996,1713795797.693,1.315493071922854,1.431371756437916,0.6699883091418661,-0.39604617500182104,0.015655898538355372,0.006080878551331743,-0.016786138119496648,-0.001252829765375223,0.006824274533157244
5997,1713795797.7054884,1.3055985275538822,1.4317625939995193,0.6701498719403434,-0.396465414766218,0.015624606557866877,0.006741176066472202,-0.016786132668167853,-0.0012528298573137176,0.007297187771838365
5998,1713795797.716,1.297261660734359,1.4320909349095452,0.6704551337615284,-0.3968183376604738,0.015598265807705911,0.0068992066687236535,-0.016786150593978824,-0.001252831513590161,0.00730117709065203
5999,1713795797.7254543,1.2897569320941755,1.43238576253526,0.6705516180931064,-0.3971357170885391,0.015574576247365541,0.004827129038226236,-0.016786145524041573,-0.001252831606643453,0.005209937618683979
6000,1713795797.738,1.2797896755874636,1.4327763490954393,0.670864490148786,-0.3975569300267355,0.015543139986130917,0.004963400173148859,-0.016786167347503152,-0.001252832550136428,0.005214932553998953
6001,1713795797.7454789,1.27384212885731,1.4330087716067528,0.6708784107341293,-0.3978079960757044,0.015524399835695608,0.0007634498990829941,-0.016786162680388874,-0.00125283264430461,0.0012137617723981496
6002,1713795797.75,1.2702446863926975,1.4331491161469725,0.6710049675978784,-0.39795981061747515,0.015513060267836182,0.0007767245023825257,-0.016786184972210474,-0.0012528410106791956,0.001215894843936393
6003,1713795797.7654777,1.2579217042461837,1.4336290274520451,0.6711837036421601,-0.3984794140184394,0.015474277774176292,0.00941764067733585,-0.016786180692346355,-0.001252841105959073,0.00921628757231851
6004,1713795797.772,1.252722881197512,1.433830828869908,0.6722347282868713,-0.3986984085334543,0.015457925567219914,0.009561276182243667,-0.016786196720026583,-0.0012528478689767355,0.00923563744057061
6005,1713795797.785476,1.2419742065683193,1.4342472198776082,0.6728067608259047,-0.39915081014311293,0.015424158663151886,0.027198620701624557,-0.01678619287069224,-0.0012528479653649823,0.025349951322804792
6006,1713795797.794,1.2351683025984868,1.4345100736747927,0.6755903515146068,-0.3994369950974739,0.015402791880570949,0.027694271490442696,-0.016786204557547053,-0.001252854116672753,0.02540236775638262
6007,1713795797.8054397,1.2260271567303866,1.4348623191947543,0.6766971079929623,-0.3998210400788086,0.015374126661679557,0.056040005808956815,-0.016786200661203635,-0.0012528542141641002,0.051066664282456854
6008,1713795797.8114538,1.2205726149903817,1.402333652650174,0.6773730164170684,-0.4005177288311291,-0.009743337551302043,0.05665424674453277,-0.01689104181124444,-0.006571905686596971,0.051066664282456854
6009,1713795797.817,1.2161294800257347,1.4022253739419692,0.6811364931622145,-0.400705083245222,-0.009816238336428465,0.057296970208308574,-0.01689103843209439,-0.0065719089213203,0.051130658573847694
6010,1713795797.825523,1.2092978503524083,1.4020575693078363,0.6826587632319442,-0.4009929945467773,-0.009928262697565271,0.09813680595568967,-0.016891035381733158,-0.006571908866450662,0.0827970305213997
6011,1713795797.8454804,1.1932854589744946,1.4016586643623874,0.6887486485857996,-0.40166718969363735,-0.01019058075582743,0.18230860341610128,-0.016891032549092858,-0.006571908809223165,0.16371236351267834
6012,1713795797.85,1.1896544755571774,1.401566409078161,0.6957814543828563,-0.4018198635745493,-0.01025000476076305,0.18390876517940374,-0.01689103024251591,-0.006571925531810555,0.16379953947557296
6013,1713795797.8654387,1.177243225914839,1.4012483472965807,0.7024463263947336,-0.40234140676768326,-0.010452929731653952,0.23701743821070922,-0.016891027615668113,-0.0065719254721745375,0.2105074279396
6014,1713795797.872,1.1719627516627145,1.401110886431631,0.7123973032875016,-0.4025630567140213,-0.010539189681385772,0.23995040672262,-0.016891024824205018,-0.006571940770020895,0.21063950919604787
6015,1713795797.8854742,1.1611112391793255,1.400825678551416,0.7206180540226078,-0.403018233141279,-0.01071629304840508,0.3402297619133633,-0.016891022337468146,-0.006571940707915745,0.30106504916441806
6016,1713795797.892,1.155850525364991,1.4006855267610254,0.733822865232923,-0.40323868229096005,-0.010802084344820717,0.3443771278832576,-0.016891019078573506,-0.006571954340190962,0.3012424807948725
6017,1713795797.9054823,1.1449742647154348,1.4003930577189747,0.7458251987103341,-0.40369413252088915,-0.010979294613879274,0.500754326657922,-0.016891016623289987,-0.006571954275568258,0.4414367141796528
